source;title;published_at;currencies;News value;full_news_url;description
Bitcoin.com;El Salvador to Buy Bitcoin Every Day Starting Tomorrow, President Says;2022-11-17T23:00:44Z;BTC;1;https://cryptopanic.com/news/16925615/El-Salvador-to-Buy-Bitcoin-Every-Day-Starting-Tomorrow-President-Says;El Salvador will start buying bitcoin every day, according to Salvadoran President Nayib Bukele. Since adopting the cryptocurrency as legal tender, El Salvador has bought about 2,381 bitcoins for its treasury. El Salvador to Buy Bitcoin Every Day The president of El Salvador, Nayib Bukele, announced on Twitter Thursday that his country will buy one […]
Bitcoinist;Elon Musk Looks Toward Leadership Change At Twitter, Will This Affect Dogecoin?;2022-11-17T23:00:21Z;DOGE;0;https://cryptopanic.com/news/16925616/Elon-Musk-Looks-Toward-Leadership-Change-At-Twitter-Will-This-Affect-Dogecoin;<p>Elon Musk’s takeover of Twitter pushed the price of Dogecoin higher at various points in the last couple of weeks. This was due to the billionaire’s relationship with the meme coin in the past. However, recent revelations about Musk’s plans for the social media platform have not really been in favor of Dogecoin and the […]</p>
NewsBTC;Top 4 Altcoins That Defy The FTX Fiasco – TWT, LTC, GMX, CHZ;2022-11-17T22:46:13Z;BTC,ETH,SOL,LTC,CHZ,TWT,GMX,FTT;0;https://cryptopanic.com/news/16925575/Top-4-Altcoins-That-Defy-The-FTX-Fiasco-TWT-LTC-GMX-CHZ;"<p>The price action displayed by top altcoins in recent times has yet to be encouraging with the market&#8217;s erratic price movement after a cascading effect suffered by FTX led to many altcoins, including the price of Ethereum (ETH), battling for survival. The Domino effect of the FTX saga and other huge investors has left the market at a standstill as the market has yet to make a major move. Still,...</p></body></html>"
AMBCrypto;Bitcoin: Assessing what’s in store for BTC short-term holders;2022-11-17T22:30:04Z;BTC;-1;https://cryptopanic.com/news/16925529/Bitcoin-Assessing-whats-in-store-for-BTC-short-term-holders;Bitcoin’s social activity continues to climb. However, this should not be taken as a bullish sign as the outlook remains predominantly bearish Data from the cryptocurrency social analytics platform LunarCrush revealed a surge in Bitcoin’s [BTC] social activity following the collapse of cryptocurrency exchange FTX. We are noticing increased #Bitcoin social activity following the collapse […]
Decrypt;Proof of Reserves Isn't a 'Panacea' for Future FTX-Like Collapses, Industry Leaders Caution;2022-11-17T22:29:25Z;BTC;0;https://cryptopanic.com/news/16925551/Proof-of-Reserves-Isnt-a-Panacea-for-Future-FTX-Like-Collapses-Industry-Leaders-Caution;<p>Following the epic meltdown of one of the biggest players in crypto, some within the industry are calling for “proof of reserves” to provide greater transparency—but it has its limitations.</p>
The Block;Bitcoin mining stock report: Thursday, November 17;2022-11-17T22:03:23Z;BTC;-1;https://cryptopanic.com/news/16925490/Bitcoin-mining-stock-report-Thursday-November-17;<p>Bitcoin mining stocks tracked by The Block were mostly down on Thursday. </p>
CryptoSlate;"CryptoSlate Wrapped Daily: Oldest Bitcoin holders start selling; FTX court filing reveals SBF’s $1B loans from Alameda";2022-11-17T22:03:02Z;BTC;-1;https://cryptopanic.com/news/16925485/CryptoSlate-Wrapped-Daily-Oldest-Bitcoin-holders-start-selling-FTX-court-filing-reveals-SBFs-1B-loans-from-Alameda;<p>The biggest news in the cryptoverse for November 17 includes the high selling tendency of Bitcoin holders older than 10 years, SBF’s $1.6 billion personal loan from Alameda Research, and Bitcoin and Ethereum’s emergence as the second and third most shorted crypto asset. </p>
The Daily Hodl;Crypto Analyst Says FOMO and Doubt Will Be the Building Blocks for the Next Big Bitcoin (BTC) Bull Run;2022-11-17T22:00:33Z;BTC;1;https://cryptopanic.com/news/16925459/Crypto-Analyst-Says-FOMO-and-Doubt-Will-Be-the-Building-Blocks-for-the-Next-Big-Bitcoin-BTC-Bull-Run;<p>A widely followed crypto trader claims the uncertainty shrouding Bitcoin’s (BTC) next bull market will be the fuel that ends the bear market. The pseudonymous crypto analyst Rekt Capital warns their 330,300 Twitter followers that any ‘strong bearish convictions’ may cause them to miss out on the next big bull run. “People doubting if BTC will experience […]</p>
AMBCrypto;"BTC enters another phase of low volatility; here’s what investors should expect";2022-11-17T21:30:07Z;BTC;0;https://cryptopanic.com/news/16925394/BTC-enters-another-phase-of-low-volatility-heres-what-investors-should-expect;Bitcoin’s price action may be headed for another period of inactivity. Why Bitcoin demand has failed to manifest strongly despite the discounted price. Not so long ago (September), Bitcoin went through a period of low volatility. This stage was characterized by low demand and limited directional price movement. Its performance after last week’s crash suggests […]
The Block;Starkware launches token on Ethereum, but it’s not yet tradable;2022-11-17T21:17:16Z;ETH;1;https://cryptopanic.com/news/16925354/Starkware-launches-token-on-Ethereum-but-its-not-yet-tradable;<p>Starkware deployed its native token STRK on the Ethereum network, but the token is currently not tradable. </p>
ZyCrypto;Ripple Unfazed By Current Market Debacle, Sees Global Expansion Of ODL As XRP Eyes Massive Traction;2022-11-17T21:08:36Z;XRP;0;https://cryptopanic.com/news/16925326/Ripple-Unfazed-By-Current-Market-Debacle-Sees-Global-Expansion-Of-ODL-As-XRP-Eyes-Massive-Traction;"<p>Speaking during Ripple&#8217;s annual Swell conference, CEO Brad Garlinghouse gave a summary on crypto utility, macro factors affecting the industry, and...</p></body></html>"
The Daily Hodl;Pro-XRP Attorney Launches Petition To Investigate SEC Chair Gary Gensler’s Connections With Sam Bankman-Fried;2022-11-17T21:00:20Z;XRP;0;https://cryptopanic.com/news/16925269/Pro-XRP-Attorney-Launches-Petition-To-Investigate-SEC-Chair-Gary-Genslers-Connections-With-Sam-Bankman-Fried;<p>Attorney and Ripple supporter John Deaton is launching a public campaign aimed at convincing lawmakers to probe Securities and Exchange Commission (SEC) chair Gary Gensler and his ties to Sam Bankman-Fried’s FTX. Deaton’s petition on Change.org has garnered more than 3,000 signatures at time of writing, and a message portal on his website, CryptoLaw, has […]</p>
U.Today;SHIB and DOGE Price Analysis for November 17;2022-11-17T21:00:00Z;DOGE,SHIB;-1;https://cryptopanic.com/news/16925325/SHIB-and-DOGE-Price-Analysis-for-November-17;<p>Can DOGE or SHIB bounce back soon?</p>
CoinTelegraph;$600M in Bitcoin options expire on Friday, giving bears reason to pin BTC under $16K;2022-11-17T21:00:00Z;BTC,FTT;0;https://cryptopanic.com/news/16925318/600M-in-Bitcoin-options-expire-on-Friday-giving-bears-reason-to-pin-BTC-under-16K;<p>Bears are better positioned for Friday’s $600 million BTC options expiry, but bulls can flip the tables if Bitcoin price trades above $18,000.</p>
CoinTelegraph;How a single strategy crypto algorithm gained 176.31% while  Bitcoin tanked 65% in 2022;2022-11-17T20:57:00Z;BTC;0;https://cryptopanic.com/news/16925352/How-a-single-strategy-crypto-algorithm-gained-17631-while-Bitcoin-tanked-65-in-2022;<p>Warren Buffett said that “What we learn from history is that people don’t learn from history.” Crypto traders can change that.</p>
ZyCrypto;Congress’s Failure to Pass Regulation Caused FTX’s Debacle, Asserts Crypto-Friendly Senator;2022-11-17T20:56:08Z;ETH,XRP,FTT;0;https://cryptopanic.com/news/16925275/Congresss-Failure-to-Pass-Regulation-Caused-FTXs-Debacle-Asserts-Crypto-Friendly-Senator;US Senator Pat Toomey has blamed FTX’s collapse on the lack of clear regulations. Speaking during the Financial Regulators Hearing on November 15, the legislator took aim at the US Congress, suggesting that if the house had passed regulations on custody for the industry earlier, the FTX implosion could have been avoided. “It certainly appears […]
Bitcoin Magazine;Blockstream Launches BOL2: Community For Bitcoin Development;2022-11-17T20:38:48Z;BTC;0;https://cryptopanic.com/news/16925211/Blockstream-Launches-BOL2-Community-For-Bitcoin-Development;<p>Along with other bitcoin companies, Blockstream is spearheading a developer community to further Lightning and layer-2 development.</p>
Cryptonews;Terra Luna Audit Results: 80,000 Bitcoin Worth $2.8 Billion Used to Defend Peg – Here’s What You Need to Know;2022-11-17T20:36:00Z;BTC не правильное определение монеты ;-1;https://cryptopanic.com/news/16925239/Terra-Luna-Audit-Results-80000-Bitcoin-Worth-28-Billion-Used-to-Defend-Peg-Heres-What-You-Need-to-Know;"<p>Terra (LUNA) founder Do Kwon and the Luna Foundation Guard (LFG) spent as much as 80,000 bitcoin, worth a whopping $2.8bn, to defend the algorithmic stablecoin UST&#8217;s dollar peg, a new audit report has revealed. <br>
The newly revealed numbers were shared by Do Kwon himself in a Twitter thread on Wednesday, after Luna Foundation Guard &#8211; the entity tasked with maintaining the stability of UST &#8211;...</p></body></html>"
AMBCrypto;Assessing if Ethereum can break away from bearish shackles anytime soon;2022-11-17T20:30:34Z;ETH;0;https://cryptopanic.com/news/16925210/Assessing-if-Ethereum-can-break-away-from-bearish-shackles-anytime-soon;Disclaimer: The findings of the following analysis are the sole opinions of the writer and should not be considered investment advice. Ethereum’s recent decline below its long-term trendline resistance exhibited an increased selling edge. The altcoin noted a gradual improvement in its funding rates over the past day. Ethereum [ETH] witnessed double-digit losses over the last 12 […]
BeInCrypto;Bitcoin, Ethereum, XRP On-chain Analysis: Holders in Pain but Undeterred;2022-11-17T20:00:40Z;XRP;-1;https://cryptopanic.com/news/16925174/Bitcoin-Ethereum-XRP-On-chain-Analysis-Holders-in-Pain-but-Undeterred;"<p>Bitcoin, Ethereum, and XRP all moved in the same downward direction noting occasional price pumps on their short-term chart. </p>
"
