step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,226,2,0.3485363574932125,0.0,0.0,0.44138164187135037,0.0,0.0,,,,,,
2,484,4,0.3315198491279147,0.0,0.0,,,,,,,,,
3,758,6,0.2488095282741538,0.0,0.0,,,,,,,,,
4,984,8,0.22961700608133734,0.0,0.0,,,,,,,,,
5,1194,10,0.19231525410888514,0.0,0.0,,,,,,,,,
6,1340,12,0.18745579522185532,0.0,0.0,,,,,,,,,
7,1470,14,0.05232846873254857,1.0,1.0,,,,,,,,,
8,1680,16,0.05788068095367635,0.5,0.8,,,,,,,,,
9,1826,18,0.05987008380387529,0.5,0.8,0.029644356866054978,0.5,0.75,,,,,,
10,2052,20,0.0436923993327069,0.5,0.8,,,,,,,,,
11,2182,22,0.07630242977589659,0.0,0.6666666666666666,,,,,,,,,
12,2424,24,0.07841314293027486,0.0,0.6,,,,,,,,,
13,2554,26,0.04178384828809613,1.0,1.0,,,,,,,,,
14,2812,28,0.03766478966806517,1.0,1.0,,,,,,,,,
15,2942,30,0.04168393002994208,1.0,1.0,,,,,,,,,
16,3264,32,0.06293307256679326,0.5,0.8,,,,,,,,,
17,3538,34,0.030726579445080837,1.0,1.0,0.1114034628688075,0.5,0.8,,,,,,
18,3764,36,0.11838810116560904,0.0,0.5,,,,,,,,,
19,4022,38,0.03276201107643715,1.0,1.0,,,,,,,,,
20,4168,40,0.07330823205647398,0.0,0.5,,,,,,,,,
21,4282,42,0.05184427329509552,1.0,1.0,,,,,,,,,
22,4476,44,0.030979791446879974,1.0,1.0,,,,,,,,,
23,4702,46,0.07540363087422779,0.0,0.6666666666666666,,,,,,,,,
24,4928,48,0.05810370041109049,0.0,0.6666666666666666,,,,,,,,,
25,5074,50,0.08330899464721572,0.0,0.5,0.05754420998131537,0.5,0.8,,,,,,
26,5316,52,0.036627282608308935,0.5,0.8,,,,,,,,,
27,5542,54,0.04605374171656097,0.5,0.8,,,,,,,,,
28,5752,56,0.05015199963076157,0.0,0.6,,,,,,,,,
29,5898,58,0.038735743446822096,1.0,1.0,,,,,,,,,
30,6044,60,0.05688028837088496,0.0,0.5,,,,,,,,,
31,6270,62,0.04127346536743321,0.5,0.75,,,,,,,,,
32,6400,64,0.0574332233757741,0.5,0.8,,,,,,,,,
33,6642,66,0.03913295710275998,1.0,1.0,0.0693061631323177,0.0,0.6666666666666666,,,,,,
34,6852,68,0.03340157898503934,1.0,1.0,,,,,,,,,
35,6998,70,0.0604173501251757,0.5,0.8,,,,,,,,,
36,7160,72,0.030149243625226512,1.0,1.0,,,,,,,,,
37,7274,74,0.06895761810006142,0.5,0.8,,,,,,,,,
38,7436,76,0.04522675088801771,0.5,0.8,,,,,,,,,
